stimulus,left_image,right_image,condition,target_side,correct_response,background
Intro,ocean-left,ocean-right,Filler,L,0,black-background
find_ball,,,,L,0,black-background
see_the_book,,,,R,1,black-background
see_dog,,,,R,1,black-background
find_cookie,,,,L,0,black-background
find_car,,,,L,0,black-background
see_the_baby,,,,L,0,black-background
see_the_shoe,,,,R,1,black-background
find_the_keys,,,,L,0,black-background
find_the_cookie,,,,R,1,black-background
see_shoe,,,,R,1,black-background
find_the_car,,,,L,0,black-background
find_keys,,,,R,1,black-background
see_baby,,,,R,1,black-background
find_the_ball,,,,L,0,black-background
see_book,,,,L,0,black-background
see_the_dog,,,,L,0,black-background
End,fireworks-left,fireworks-right,Filler,L,0,black-background
